event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0185,3,1,"[15.34, 4.58, 0.02]","[1.6084, -0.2703, 0.0]","[0.0, 123.5679, 162.9976]","[0.03616, -0.00513, -1e-05]","[-0.60788, 0.19578, 0.001]","[0.1756, 0.5259, 271.7455]","[0.2387, 1.976, 64.6553]","[0.0298, 0.1392, -7.0224]","[0.01295, 0.29722, 271.2077]"
0304,3,0,"[6.49, 3.18, 0.05]","[2.9397, -0.6709, 0.0001]","[0.0, 321.555, 364.3167]","[-0.71094, 0.122, 0.00147]","[-1.21883, 0.38308, 0.00429]","[0.3365, 1.0732, 85.9457]","[0.1359, 0.9935, 19.1193]","[-0.2856, -0.7133, -7.2793]","[0.00307, 0.11266, 82.05401]"
0186,3,1,"[12.72, 4.26, 0.18]","[2.5305, -0.3923, 0.0001]","[0.0, 31.28581, 38.62274]","[0.53791, -0.08654, -0.00094]","[0.58712, -0.21678, -0.00177]","[0.3394, 0.6376, 102.1088]","[0.1292, 1.2526, -6.7306]","[-0.1565, -1.0541, -3.5001]","[0.00646, 0.15553, 100.7621]"
0305,3,0,"[4.06, 2.11, 1.47]","[2.0456, -0.55, 0.0425]","[0.0, 51.8559, 52.40897]","[-0.82483, 0.14258, 0.03647]","[0.54528, -0.11588, -0.02699]","[0.2745, 1.5347, 6.8539]","[0.032, -0.0896, -1.1357]","[0.1908, 1.4477, 3.0706]","[0.02835, 1.02942, 6.12266]"
0306,3,0,"[3.72, 4.21, 0.03]","[-1.1827, 1.6852, 0.0005]","[2.531328, 0.0, 3.392683]","[-0.0806, 0.15445, -0.00079]","[0.00958, 0.10033, -7e-05]","[0.4572, 0.2069, 50.0925]","[-1.0603, -0.105, -4.2698]","[0.1265, -0.1571, 14.0495]","[0.19612, 0.01077, 49.45803]"
0187,3,1,"[7.7, 17.02, 0.17]","[-0.944, 1.9015, 0.0006]","[14.2537, 0.0, 20.69739]","[0.06839, -0.13879, 0.00096]","[-0.05316, 0.08091, -0.00065]","[0.4814, 0.1619, 43.6986]","[-0.201, -0.1701, -5.2688]","[1.1348, 0.3842, 10.8122]","[0.40189, 0.09439, 43.5315]"
0188,3,1,"[9.11, 6.03, 0.62]","[2.8593, -0.6767, 0.0175]","[0.0, 190.2632, 194.4027]","[1.11403, -0.29339, -0.03826]","[-1.39175, 0.19393, 0.02877]","[0.3517, 1.3543, 9.5109]","[-0.1178, -0.6391, -0.8454]","[0.2381, 1.0931, 3.7978]","[0.00988, 0.44134, 7.694]"
0019,3,2,"[10.7, 22.92, 0.57]","[-0.8865, 2.0064, 0.0017]","[32.19049, 0.0, 38.83117]","[0.02486, -0.04611, 0.00074]","[-0.16065, 0.39175, -0.00447]","[0.643, 0.2274, 26.2991]","[1.0806, 0.3088, 5.4746]","[0.2964, 0.0567, 2.8609]","[0.37965, 0.04466, 25.70011]"
0189,3,1,"[5.46, 9.19, 0.05]","[-3.0349, 2.6339, 0.0002]","[153.0821, 0.0, 200.2078]","[0.17887, -0.80733, 0.00163]","[-0.88379, 1.82123, -0.00633]","[0.6372, 0.3126, 66.0327]","[0.6093, 0.1792, 13.1606]","[0.2998, 0.2466, -1.5367]","[0.07202, 0.00694, 63.55237]"
0095,3,1,"[8.25, 3.18, 0.08]","[3.7925, -0.3428, 0.0002]","[0.0, 190.7672, 214.5709]","[-0.22452, 0.19903, 0.00292]","[-1.38565, 0.2707, 0.00518]","[0.4212, 1.1656, 73.21]","[0.2009, 0.3346, 15.0559]","[-0.1759, -1.683, -17.8249]","[0.00772, 0.2928, 71.08999]"
