event_id,m1_det,m2_det,m1_src,m2_src,z_source,dl_source,gps_time,ra,dec,psi,theta_jn,phase,a1,a2,tilt1,tilt2,phi12,phijl
0219,31.81640362153692,6.321695802768259,8.00725077203591,1.5909844556732808,2.969999999999999,25766.701191200445,1126273185.4860342,1.427584989450789,0.4017533091043648,2.347748104809472,2.875100579749466,4.876996375600844,0.1379220024973229,0.0031508316652762,0.0474286332129411,1.9640682451004368,2.82475147341464,4.686943579650262
0110,22.04359657840025,4.67592329375418,6.86519833185881,1.456256953442694,2.209999999999999,18004.083764847386,1126326360.1846962,3.0914875580410466,-1.1219226114627872,0.7476989581016523,0.5893365941204667,2.937960212748346,0.0171212284889252,0.0393557662974903,2.3698156891620403,1.441113980656637,1.450593170712075,3.6262009814724574
0113,16.928266660954424,3.919446375763437,4.922388494688169,1.1396936338500137,2.439999999999999,20285.33262544729,1126259989.8476963,4.804020718762197,1.1831786826961366,0.3936198015363075,1.1474402738852902,5.328304874434834,0.1226767942487239,0.0223325875247364,0.892992879747059,0.6451732038223235,4.4639684447412415,4.552957071486525
0115,30.25562446642616,6.786056688880446,7.2911400989616,1.6353352776779504,3.1499999999999986,27610.077428982408,1126274957.5933778,5.379490141694842,-0.009232685665365,0.0351506305309424,0.2189700804229155,0.7506759916571928,0.0177887948997368,0.0069477919106576,1.3573442392446116,2.094665518736353,2.0081833364696493,2.800484469807652
0118,28.67706856449367,8.12712918268274,5.381645804309104,1.5251674196997855,4.329999999999997,40304.95846620007,1126334089.3316877,3.29761147032887,0.9050102242575544,0.4214310686793084,2.436072632955665,5.581484576040288,0.1338456288227123,0.0488695061225261,0.7459094554076425,0.7169435545318439,5.09879511578474,5.018236805921893
0120,22.19398693541979,7.309132493451479,5.755060466370009,1.895310634313817,2.8499999999999988,24551.714533662605,1126295856.4753127,4.296940934155464,-0.7190365139663355,1.6186354413571225,2.4250107986422367,0.0158091078674404,1.8390117363032912e-05,0.0139968962122686,1.663592799432271,1.44993124019425,5.794969636663201,5.646868988620556
0131,65.7411469024135,12.149873547735568,8.570155232155676,1.583883264308142,6.679999999999996,66807.92713702626,1126316169.09775,3.3359608676477293,-0.9711526918543176,1.7316416599595414,0.5812710926148601,5.12822552347604,0.0572835513264996,0.0234949777795832,1.2994335294638115,0.9046129366088438,2.5497134666331847,1.457446331266356
0220,35.420119023449146,7.328434449007523,7.500501799546588,1.5518563259556082,3.7199999999999984,33705.56437877207,1126321512.7853415,0.9223001544311442,-0.97462506373317,2.5865348763996776,2.722490524607161,3.806027906445315,0.051140573812623,0.0145787525414958,2.27974699350961,1.2071526456391228,1.1905758364676922,3.197488470197235
0221,8.62684177828606,4.065304185834308,3.675669492244388,1.7321187702985,1.3399999999999994,9802.29563854342,1126293468.5752296,5.633706251080378,-0.6883023297072357,0.3492492474360383,2.686593851598784,2.0371845268025988,0.1927593031728859,0.0463372682455942,2.338102372483826,2.1218956221495207,4.513242033834422,0.594541656249242
0148,22.16719666594724,5.8667261304794565,6.377860546339361,1.6879518726534573,2.469999999999999,20655.016306124657,1126326233.6906488,4.941651709271562,1.4809622948860424,0.8651399120893046,2.417940517447744,5.431003686256656,0.0191663018317232,0.0125732680121082,2.4168862178924515,0.6884480604209244,1.6884428108407188,2.377862372891519
0155,26.55892184101766,4.681561274219952,9.623690152374689,1.696375154162618,1.7599999999999993,13620.891613644477,1126307697.5330615,2.653158936468943,-0.2206039653499643,2.428800579224621,1.841011270961916,6.240893377356327,0.0234582889017645,0.0110380380177808,1.5601556755937946,0.8415179684926497,3.2595263098217524,1.6635558091189544
0156,16.776096792066408,6.425696268295345,5.4327867327446775,2.080903434674445,2.089999999999999,16791.14026933687,1126265005.9193196,3.660628195814549,1.1944305004903015,3.043562723362101,0.87558416552287,1.2814639536623833,0.4596412576158678,0.0396977958406345,2.118611028570121,0.9932109018918232,5.339366422933662,3.030249634204638
0158,30.203051514839157,8.81971166383944,5.156040474787667,1.505635624015364,4.839999999999997,46166.29719438407,1126340580.7783835,0.9429159837247788,-0.1194644851977787,1.5097975565376018,0.2587137184768314,2.208178198653131,0.0596011323576909,0.0311634509533133,1.9911805995689251,1.9278900441207605,5.903303687547658,1.4273149371024103
0222,36.12427542691123,9.951302018671814,6.465043129366838,1.780951894086738,4.589999999999997,43162.60356601308,1126262670.050604,1.0351608094211031,-0.5937122734993102,2.747717948788078,2.7305516062373223,2.5358770931564085,0.0065933827919888,0.0414156078333624,2.0998628227229377,2.0578545144778904,0.5652903850061848,2.834438108297773
0160,17.738351327011912,4.178982423913889,4.608570139562302,1.0857341394111124,2.8499999999999988,24474.750089798312,1126274482.196565,5.5505266719336674,-0.8320978904887739,1.1600162221825954,2.1338829594412903,5.752418781478776,0.0351019276675809,0.0083955541719941,1.471078299544294,1.73609335021144,1.7536251606559117,1.0685020787788546
0223,16.635229683596823,5.08163144270294,7.330075881470449,2.2391481683843444,1.2699999999999996,9110.423050703874,1126292433.1623828,2.558348788347313,-0.5889791172324667,1.25440950218422,0.9137069383047586,6.126105135355137,0.2799357949931766,0.0017383771954152,2.699101049096189,2.304175089907215,1.9790449395629257,4.415932714812854
0224,31.28593216160834,8.707689527273493,7.433747567979732,2.0690055041902977,3.2099999999999986,28230.850387875133,1126278088.8754525,4.703449430962537,-0.3818981420597347,2.425619160210251,1.9810345773589344,5.842944767655773,0.0175171663511846,0.0059687227298213,1.514382718306795,1.0365876640341218,3.555231956732233,3.3240879080823094
