event_id,m1_det,m2_det,m1_src,m2_src,z_source,dl_source,gps_time,ra,dec,psi,theta_jn,phase,a1,a2,tilt1,tilt2,phi12,phijl
0001,44.90355550736401,5.009562886726627,9.43425818344647,1.052511524434623,3.7599999999999985,34107.09362808778,1126285975.85334,3.7804278222498873,0.1070613934648773,1.7381071870471236,2.286377906610233,5.308027282724306,0.1282574795786241,0.0072158754316372,1.803620302315577,2.126793023419935,3.906199047511548,0.5774005327848385
0002,28.801213162814506,6.523808234779315,9.417635808204189,2.1332035456422807,2.059999999999999,16499.98809794069,1126312778.8623548,0.3922305290242507,0.5440427735353282,2.0890723959650743,2.3970997898626902,2.7407682414947145,0.015241276637394,0.0214673616261276,2.566231041684081,2.3340828846871653,1.6672091914981102,1.5903480676691766
0003,10.504929497071942,2.1065627763022183,6.631192976902367,1.3297589756802113,0.5899999999999997,3514.261223839852,1126345680.1449275,1.7795603301239211,-0.4004888766268124,0.1471303571551566,2.3877352616801426,5.36932421764853,0.0442097616159285,0.0012610173089329,1.80401919683076,1.4413158880187449,0.9027649915427596,1.1873006829228412
0004,24.805857894149423,6.614964151094855,7.04867998991964,1.879667522277276,2.5199999999999987,21096.175804482235,1126267776.7742918,2.6305434898549707,1.508863096589237,2.552221187292437,1.3950675207045409,4.048403480339319,0.0102293718147813,0.0315157123250155,1.9540138646335912,1.6991201841019634,2.5583106074590978,0.605766324141153
0005,23.571253116095477,4.9553666365882085,7.782243512407176,1.6360551417970424,2.029999999999999,16212.959676736307,1126317360.3845725,2.8569780886307123,-0.1540944063759972,2.7224746608720896,1.3281555291712024,4.7122122799833335,0.137174241860116,0.0049404545001874,1.2499151800349968,1.871330059424414,1.621237233949393,0.8692698362374726
0006,32.59696502594634,5.212510494714632,11.433268469645386,1.828269344691433,1.8499999999999992,14492.513548709858,1126276836.7618966,5.212571080813232,1.0607037963085917,2.806740900338382,2.092709747558145,0.1594594127962721,0.0481370823822882,0.0222950333570431,2.2269702259336537,2.725737125546925,4.535140807864241,5.689736445493716
0007,34.120682757399706,8.256787570832131,8.435910717346472,2.041387133278576,3.0399999999999987,26510.109864487134,1126313371.0632927,5.066666010216054,0.5059138304040441,1.8706688170231176,1.0183048950340587,0.3004273772363311,0.0040880447999023,0.0363067905189534,2.4049798158316142,0.8306379475972925,5.056859183204246,1.7166921733344054
0008,21.270833447047263,6.179830133048892,7.145581585212846,2.0760108205627232,1.979999999999999,15706.017940519025,1126293335.6213028,2.390456655059818,-0.741886299041976,2.230782109374037,2.404025609694981,1.5695605339107188,0.1010148738765474,0.0298383123152729,2.783184912179345,0.7200662720375877,4.336631250719622,3.3890633067253595
0009,13.498616179106564,2.577618724022341,7.188126191552607,1.372603562923717,0.8799999999999996,5779.909511196934,1126308890.08022,0.4678922479740791,0.7176969175063788,0.8979431364784562,2.1534490333816056,3.36827958500856,0.0712118644742534,0.0265643047750149,1.4180794723604482,0.5161475834050216,2.4230361078303373,5.583465320613233
0010,27.864960278252777,5.441905543569808,9.051168409255268,1.7676538222289062,2.079999999999999,16699.619568378344,1126288917.6515882,0.0372370955822308,-0.7844242880093523,2.571067296400619,2.732191086106849,2.98827403270848,0.0432770267315499,0.0095575778859195,2.237642470725852,1.5288676585798011,2.2745616681889875,2.9967151499364
