event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0018,3,2,"[14.42, 28.6, 0.48]","[-0.2959, 1.881, 0.0005]","[215.118, 0.0, 241.3355]","[0.19786, -0.40056, 0.00603]","[-0.18666, 0.87205, -0.00588]","[1.0764, 0.2399, 50.5506]","[-0.0454, 0.1092, -5.0125]","[1.8394, 0.1848, 22.1702]","[0.67241, 0.01558, 49.66212]"
0019,3,2,"[13.57, 8.02, 0.38]","[-2.2724, 2.5132, 0.0034]","[14.33647, 0.0, 23.62547]","[0.7236, -0.14377, 0.0038]","[-0.30192, 1.16117, -0.00636]","[0.5808, 0.2782, 18.5459]","[-0.4834, 0.3268, -3.1124]","[0.6181, 0.1279, 0.7165]","[0.30399, 0.05361, 17.71982]"
0020,3,2,"[30.66, 8.48, 0.15]","[2.2096, -0.3221, 0.0001]","[0.0, 142.1628, 168.113]","[0.70753, -0.19435, -0.00218]","[-0.23706, 0.0707, 0.0009]","[0.2585, 0.6243, 97.3548]","[-0.2441, -1.4133, 4.2327]","[0.1941, 1.1172, 3.7906]","[0.00602, 0.20184, 96.32132]"
0021,3,2,"[13.54, 9.48, 0.01]","[-4.7519, 2.6049, 0.0]","[64.37154, 0.0, 162.6336]","[-0.28103, 0.50144, -0.00018]","[-0.33576, 0.44289, -0.00017]","[0.4109, 0.2933, 506.3655]","[0.1244, -0.0876, 11.1191]","[-0.7362, -0.3284, -75.0377]","[0.0558, 0.01635, 504.7781]"
0022,3,2,"[16.18, 33.91, 1.48]","[-0.4023, 2.0745, 0.005]","[31.06441, 0.0, 34.32555]","[-0.53631, 1.42163, -0.03788]","[0.02293, 0.23074, 0.00075]","[1.1348, 0.203, 17.1808]","[-1.5769, -0.3674, -7.7544]","[0.1322, -0.1345, 0.819]","[1.00323, 0.11005, 16.94858]"
0023,3,2,"[15.52, 24.13, 1.96]","[-1.4598, 2.2968, 0.0125]","[65.24933, 0.0, 74.86092]","[0.03524, 0.49062, -0.00283]","[-0.2564, 0.46529, -0.00922]","[0.9111, 0.3295, 10.1914]","[0.7612, 0.0422, 2.0761]","[0.3368, -0.1115, -0.1017]","[0.21355, 0.01401, 8.27339]"
0024,3,2,"[18.47, 14.66, 0.48]","[-1.2124, 2.9324, 0.0008]","[8.235603, 0.0, 12.39228]","[-0.18618, 0.30581, -0.00214]","[-0.05089, 0.14541, -0.00061]","[0.4741, 0.2307, 37.4936]","[-0.8685, -0.3081, -5.8142]","[-0.5892, -0.3948, -0.2277]","[0.26056, 0.06167, 36.91485]"
0025,3,2,"[17.37, 8.34, 0.13]","[2.0633, -0.515, 0.0001]","[0.0, 52.56193, 71.86625]","[-0.47629, 0.02839, 0.00016]","[-0.47529, 0.27733, 0.00196]","[0.2445, 0.6028, 113.8318]","[0.065, 1.3658, 37.2706]","[-0.2861, -0.4839, 23.8834]","[0.00753, 0.21928, 112.8571]"
0026,3,2,"[18.49, 9.92, 0.36]","[2.1519, -1.0741, 0.0011]","[0.0, 28.47273, 37.99299]","[-0.37711, 0.21994, 0.00317]","[-0.26141, -0.01327, 0.00031]","[0.2441, 0.5628, 32.3618]","[-0.1704, -1.0591, -4.2638]","[-0.2788, 0.0205, 5.6488]","[0.02397, 0.24801, 31.57915]"
0027,3,2,"[13.23, 8.76, 0.49]","[-2.5322, 3.0386, 0.0006]","[6.930566, 0.0, 19.51647]","[-0.71399, -0.12206, -0.00088]","[-0.60068, 1.10763, -0.00224]","[0.4946, 0.2465, 44.4527]","[-0.145, 0.4651, 0.7948]","[-0.7933, 0.1493, -11.5394]","[0.29761, 0.07619, 43.54558]"
0028,3,2,"[17.7, 17.52, 0.72]","[1.9622, -0.6183, 0.0011]","[0.0, 41.19149, 47.53864]","[-0.43855, 0.09741, 0.00254]","[-0.54435, 0.21621, 0.00619]","[0.2286, 0.6627, 32.1408]","[0.045, 0.726, 8.2653]","[-0.2888, -1.0972, -0.3722]","[0.01649, 0.32422, 31.38915]"
0029,3,2,"[11.77, 22.2, 1.2]","[-1.0143, 3.2199, 0.0049]","[4.212021, 0.0, 6.392392]","[0.05162, -0.17334, 0.00125]","[-0.11802, 0.06897, -0.00237]","[0.8389, 0.2672, 17.0602]","[0.6782, -0.4015, 4.9025]","[0.7429, 0.2552, 5.328]","[0.67614, 0.13442, 16.69811]"
0030,3,2,"[14.59, 12.03, 0.69]","[2.0446, -0.5556, 0.0052]","[0.0, 72.12136, 76.75425]","[-0.999, 0.39226, 0.03013]","[-1.09516, 0.19673, 0.01458]","[0.2452, 1.1276, 17.2961]","[0.0661, -0.6365, -6.8724]","[-0.2761, -1.1879, -5.0117]","[0.0164, 0.61794, 16.15067]"
0031,3,2,"[14.07, 8.98, 0.12]","[2.2431, -0.7731, 0.0011]","[0.0, 68.41867, 85.4732]","[0.39813, -0.21126, -0.00485]","[-1.82939, 0.77724, 0.01672]","[0.2207, 0.5628, 31.5157]","[0.3677, 1.0752, 2.8902]","[0.1625, 0.5732, 3.5805]","[0.04014, 0.32204, 30.99498]"
0032,3,2,"[13.32, 19.79, 0.1]","[-1.2669, 2.8514, 0.0001]","[17.94486, 0.0, 39.00536]","[-0.42304, 0.6103, -0.00118]","[0.20771, 0.31084, 0.00033]","[0.5016, 0.2647, 97.2191]","[-0.6731, -0.3008, -10.5632]","[0.7646, -0.3155, 25.7176]","[0.21097, 0.03, 96.28136]"
0033,3,2,"[20.84, 31.55, 0.44]","[-3.923, 3.1261, 0.0007]","[8.313118, 0.0, 16.81142]","[-0.00875, -0.19167, 0.00043]","[-0.54424, 0.744, -0.0031]","[0.4229, 0.2666, 40.105]","[0.7657, 0.4096, 6.1725]","[-0.0391, 0.224, 0.9135]","[0.20092, 0.0851, 39.286]"
0034,3,2,"[12.91, 19.46, 0.59]","[-0.3646, 1.9465, 0.0012]","[73.50319, 0.0, 81.69268]","[0.21326, -0.73863, 0.00822]","[-0.09866, 0.28042, -0.00444]","[0.8111, 0.2048, 30.838]","[-1.2252, -0.2842, -1.3394]","[1.1303, 0.1944, 8.1174]","[0.48484, 0.02242, 30.10633]"
0035,3,2,"[20.9, 17.77, 0.36]","[1.8518, -1.2904, 0.0008]","[0.0, 79.79066, 95.66579]","[-1.09252, 0.40707, 0.00765]","[-0.16342, -0.02729, -0.00105]","[0.2343, 0.5688, 39.1119]","[-0.1874, -0.9791, -5.4964]","[-0.1059, -0.0478, 10.6946]","[0.01102, 0.1968, 38.12042]"
0036,3,2,"[16.73, 9.84, 0.57]","[1.7599, -0.3333, 0.001]","[0.0, 10.65885, 11.7387]","[-0.33275, 0.0865, 0.00312]","[-0.16283, 0.04862, 0.00201]","[0.1841, 0.7443, 33.9032]","[-0.1877, -1.0279, 0.5696]","[-0.2493, -1.4173, -5.9244]","[0.0146, 0.43023, 33.2051]"
