event_id,m1_det,m2_det,m1_src,m2_src,z_source,dl_source,gps_time,ra,dec,psi,theta_jn,phase,a1,a2,tilt1,tilt2,phi12,phijl
0001,13.893926245736024,3.263384829556676,6.84252294749845,1.6071616609892954,1.0299999999999996,7042.493858894078,1126273790.2155862,1.6250468329690162,-0.4454164747295656,1.330778903860893,2.7731585402144443,3.439333224702833,0.1051422753235342,0.0107117506409545,2.3553326969299864,1.4391533322724777,1.1775613329747177,1.2564181895470168
0002,49.91844426429687,10.406735514439982,12.496112509826284,2.605124013078629,2.9899999999999984,25988.344084519085,1126324239.8322392,3.84836964479336,0.3895700222774188,0.4374872035262087,2.3736350686764336,0.09303940421114,0.0202285866903621,0.0025418475746531,2.2799812879919426,2.085870666063718,1.5705232538562632,5.816257364133578
0003,36.72148015883148,6.869512665770019,8.6763174458019,1.6230846994287975,3.2299999999999986,28481.21320474866,1126274258.7370918,4.645698124279613,0.4741674301931374,1.5618252406333388,0.3395081436663428,4.2969331871405485,0.0768902381266409,0.0234643951590476,1.7784456994946205,1.1954118524680413,0.0795613434688593,5.14380269433221
0004,14.922575751998544,4.015875608648561,5.1466310983996,1.3850310186568873,1.8999999999999992,14958.096676329167,1126321746.921609,1.0166422879237087,0.1326965254292802,1.4708744174304682,0.2304635421514004,5.728097831839785,0.4945895141027397,0.0012948847568328,1.334514221238733,2.4616800013513025,2.927689143747972,4.589877700580065
0005,32.56868408602148,8.186309042373747,8.13528614720491,2.0448467114379167,3.0099999999999985,26078.73349688826,1126270551.40948,3.906109796085501,1.3963364206869666,0.5061487867412705,0.4916896487592839,5.523098304703586,3.106619058744256e-06,0.0212855569549103,2.040799655461671,1.908898583891383,5.957414600434835,1.7299079606829026
0006,22.89218825171541,4.929353786870314,8.178031353573637,1.7609679502291171,1.7999999999999992,13996.724393200351,1126339864.7046611,6.162936545073872,0.0231396755015799,2.6176904201639446,0.6985373166439839,5.224678190237056,0.0235096649525942,0.0043120655058553,0.83231013647142,2.1784951633842904,5.5824795480519445,4.738619280356989
0007,23.43419856631439,2.5952134094227803,10.724386373215708,1.1876690062534376,1.1799999999999995,8369.16587533978,1126309595.0388012,6.281558079845539,0.3078883301717622,0.8133308582146705,0.6897816014664144,5.676309289467434,0.051793596501896,0.0071191237322609,1.9844438430430589,3.034157288310693,5.211051599118293,2.688766720027158
0008,28.867169936694367,8.097108945314332,5.583015460536786,1.5660102644796112,4.169999999999997,38570.71906447528,1126268959.7017686,4.571346478958509,-0.1557662461010518,0.3373046074225229,0.0900586793216276,5.575937812431634,0.0060310525667506,0.0038788485809427,1.289646362020434,0.7515718683704069,1.094879152913884,5.78051154901798
0009,21.37006321143619,4.154059384125289,9.471856320457237,1.841204363496008,1.2599999999999996,8992.862635288397,1126322760.2259016,3.229254070717216,-0.8216406752752567,2.942156471268404,1.0960243658414628,1.835135752430999,0.2416803923965896,0.0353736265195816,2.330709985651847,1.3106137849497863,2.2420254130101838,2.312772437671143
0010,29.748603258615475,6.704828712617103,7.531175769811274,1.6973988022974806,2.949999999999999,25523.252719035427,1126310164.7289903,0.5129080518582777,1.1550366715757827,2.9153845879659475,2.7832391756753525,4.634104208057046,0.108318761345406,0.0361887500439155,1.1806021062610454,1.0573642779469794,1.1746629317393351,0.0233017107865743
