event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0048,5,1,"[5.24, 6.55, 7.65, 12.68, 0.05]","[-4.0804, 3.2027, -4.2248, 8.1747, 0.0001]","[12.11685, 0.0, 11.96259, 10.90495, 33.86214]","[0.34364, -0.43314, -0.03169, 0.34172, 0.00038]","[0.18135, 0.29599, -0.38495, -0.233, -0.00024]","[0.5153, 0.3663, 0.4852, 0.4322, 87.9219]","[-0.3548, -0.1034, 0.6946, -0.1438, 3.1628]","[-0.5951, 0.2805, -0.1388, 0.4235, -6.8443]","[0.09348, 0.01932, 0.09867, 0.03675, 85.91774]"
0006,3,2,"[8.62, 13.67, 2.77]","[2.3542, -1.9223, 0.224]","[0.0, 94.46818, 95.17621]","[-1.03591, 0.2514, 0.07711]","[-1.27518, 0.26847, 0.07931]","[0.3009, 1.2373, 3.4285]","[0.0519, 0.0876, -0.0063]","[-0.2477, -0.7542, -1.1975]","[0.01005, 0.31463, 1.86172]"
0049,3,1,"[6.64, 9.61, 0.72]","[-4.6971, 4.8191, 0.0325]","[0.739298, 0.0, 0.934313]","[-0.09959, 0.1966, -0.00448]","[-0.05606, 0.03688, -0.00172]","[0.7161, 0.4276, 6.6122]","[-0.2965, -0.3233, -0.3511]","[-0.4534, -0.1249, -0.7472]","[0.22679, 0.06785, 5.42974]"
0050,3,1,"[12.62, 0.99, 0.27]","[6.3821, -0.0993, 0.0037]","[0.0, 18.30572, 18.72312]","[-0.28244, 0.03802, 0.00591]","[0.22097, -0.05603, -0.00856]","[0.3266, 2.711, 21.7205]","[0.0162, 1.3992, 4.4173]","[0.5445, 3.3223, 11.9315]","[0.04398, 2.17134, 20.8917]"
0007,3,2,"[13.13, 27.16, 0.51]","[2.0577, -8.2283, 0.003]","[0.0, 7.170667, 10.98581]","[0.08695, -0.10571, -0.00092]","[0.21882, -0.1016, -0.00181]","[0.2453, 0.4764, 19.5679]","[0.2421, -0.0178, -0.5003]","[-0.1579, -0.6288, -2.7054]","[0.06402, 0.24941, 18.96817]"
0052,3,1,"[9.21, 6.68, 0.08]","[3.8478, -1.3015, 0.0007]","[0.0, 24.3634, 39.00569]","[0.61136, -0.29654, -0.0033]","[-0.33996, 0.2912, 0.00258]","[0.3353, 0.6013, 41.236]","[-0.1867, 0.1077, -5.0528]","[0.3835, 0.9569, 12.0431]","[0.09594, 0.29576, 40.42804]"
0053,3,1,"[2.34, 8.66, 0.62]","[-0.5052, 4.073, 0.0444]","[25.63696, 0.0, 26.03524]","[-0.0078, -0.02734, -0.00108]","[-0.11799, 0.49229, -0.02781]","[1.7326, 0.3676, 7.0504]","[1.548, 0.3903, 3.7477]","[-0.3461, -0.0452, -0.1682]","[1.08202, 0.06266, 6.01939]"
0054,3,1,"[14.91, 0.03, 0.45]","[20.2144, 0.0002, -0.0812]","[0.0, 266.618, 250.5759]","[0.868, -0.00765, -0.20733]","[-1.44138, 0.00717, 0.1934]","[0.4515, 80.5106, 1.885]","[0.1207, -1.8997, -0.2622]","[0.4867, 31.2133, 3.61]","[0.00877, 78.75651, 0.98129]"
0055,5,2,"[8.41, 6.2, 3.24, 11.0, 0.09]","[2.3164, -3.0055, -0.7745, 3.9586, 0.0003]","[0.0, 55.58754, 104.8184, 49.86362, 139.4349]","[-0.16438, -0.52439, 0.31968, -0.31936, 0.00167]","[-0.85081, 0.16937, 0.08155, 0.59315, 0.0012]","[0.328, 0.6249, 0.9005, 0.4322, 61.1085]","[0.0617, -0.6354, -1.0529, -0.0049, -1.7069]","[-0.1267, 0.2639, -0.4387, 0.2641, -11.2475]","[0.00998, 0.02448, 0.10067, 0.01698, 58.17052]"
0056,3,1,"[10.58, 1.25, 0.14]","[3.885, -0.193, 0.0012]","[0.0, 58.68475, 63.75749]","[0.66744, -0.18794, -0.01041]","[0.14153, -0.04091, -0.00232]","[0.3202, 1.5421, 35.5021]","[-0.4112, -2.1362, -16.3666]","[-0.1889, -0.9553, -7.8172]","[0.05405, 1.08346, 34.58641]"
0058,3,1,"[4.34, 10.56, 0.55]","[-4.6967, 6.3932, 0.0287]","[0.696792, 0.0, 0.922867]","[-0.05228, 0.09143, -0.00198]","[-0.03488, 0.04942, -0.00127]","[0.7278, 0.4743, 7.0481]","[-0.2259, -0.2039, -0.3301]","[-0.4858, -0.2799, -1.2842]","[0.27859, 0.10214, 6.08748]"
0059,3,1,"[18.47, 3.57, 0.62]","[3.4575, -0.584, 0.0029]","[0.0, 19.66634, 23.99056]","[-0.46758, 0.27046, 0.00948]","[-0.49853, 0.15885, 0.00638]","[0.2818, 0.8347, 21.1366]","[-0.0524, -0.7507, -2.245]","[-0.4731, -1.0844, -7.1992]","[0.11754, 0.61541, 20.69473]"
